installid,date,size,cost,subsidy,zip,city,state
R01129,2011-06-09,8.61,45598.89,11399.72,19809,Wilmington,DE
R00728,2011-04-26,1.575,12127.5,6063.75,19701,Bear,DE
R00810,2011-03-04,4.2,36450,18225,19804,Wilmington,DE
R01903,2013-12-10,5.17,28435,6377,19958,Lewes,DE
R00907,2010-12-15,3.964,32385.88,8096.47,19971,Dewey Beach,DE
R00168,2007-07-26,4,45000,22500,19734,Townsend,DE
R00988,2011-06-06,5.2,30992,7748,19971,Rehoboth Beach,DE
R01500,2013-06-06,6.96,32980,7720,19711,Newark,DE
DEC01133,2014-11-13,5.61,29975,2500,19958,Lewes,DE
R00725,2010-06-02,1.8,13770,6885,19701,Bear,DE
